season,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,birth_date,height,weight,college,player_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,ngs_position,week,game_type,status_description_abbr,football_name,draft_number,age
2000,KC,WR,WR,82,ACT,Derrick Alexander,Derrick,Alexander,1971-11-06,74.0,200.0,,00-0000145,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kghksofxi1gzyke5cexb",ALE225855,,3200414c-4522-5855-9980-3975fad013b4,,,,,,,,,,28.0
2000,TB,WR,WR,85,ACT,Reidel Anthony,Reidel,Anthony,1976-10-20,71.0,180.0,,00-0000387,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rcsbgaxntmcmrns4n9u1",ANT195429,,3200414e-5419-5429-319e-cdf591db431f,,,,,,,,,,23.0
2000,SEA,WR,WR,83,ACT,Karsten Bailey,Karsten,Bailey,1977-04-26,70.0,201.0,,00-0000598,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/e6hdeiakmtgnksgnkk3y",BAI501801,,32004241-4950-1801-530e-a5cfda60304d,,,,,,,,,,23.0
2000,ATL,WR,WR,80,ACT,Eugene Baker,Eugene,Baker,1976-03-18,72.0,177.0,,00-0000627,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xebdef6lvsokl0qzttfh",BAK189228,,32004241-4b18-9228-926e-f0b6c5efc7b4,,,,,,,,,,24.0
2000,JAX,WR,WR,84,ACT,Reggie Barlow,Reggie,Barlow,1973-01-22,72.0,187.0,,00-0000765,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/beaanp1wquydjxs1qlpz",BAR220596,,32004241-5222-0596-af7a-6cef3ecfb86e,,,,,,,,,,27.0
2000,CHI,WR,WR,87,ACT,D'Wayne Bates,D'Wayne,Bates,1975-12-04,74.0,215.0,,00-0000869,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vjprsnrzpipv7jrk8j96",BAT105810,,32004241-5410-5810-f045-4fe0f22700e0,,,,,,,,,,24.0
2000,PIT,WR,WR,89,ACT,Will Blackwell,William,Blackwell,1975-07-06,73.0,190.0,,00-0001317,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/msmj9gpms23qbwynel04",BLA359037,,3200424c-4135-9037-b3d9-96542a328119,,,,,,,,,,25.0
2000,CHI,WR,WR,86,ACT,Marty Booker,Marty,Booker,1976-07-31,71.0,215.0,,00-0001477,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/thzjn3ut9gpwnac9zrwx",BOO033965,,3200424f-4f03-3965-c6e4-7a66e7da27ec,,,,,,,,,,24.0
2000,ARI,WR,WR,89,ACT,David Boston,David,Boston,1978-08-19,74.0,211.0,,00-0001532,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/efvdgyy0lnmdok7k2us0",BOS674793,,3200424f-5367-4793-6f50-b41221eb8037,,,,,,,,,,22.0
2000,SEA,WR,WR,19,ACT,Fabien Bownes,Fabien,Bownes,1972-02-29,71.0,192.0,,00-0001582,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gemtrbecgdahfmnyathj",BOW671385,,3200424f-5767-1385-d2a6-c46b0af58df8,,,,,,,,,,28.0
2000,GB,WR,WR,85,RES,Corey Bradford,Corey,Bradford,1975-12-08,73.0,197.0,,00-0001627,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nm3dgcfd1c0vrf3ajpmw",BRA096357,,32004252-4109-6357-ac2a-dc7317401208,,,,,,,,,,24.0
